record_id,original_title,original_pmid,original_status,search_pmids_found,best_match_pmid,best_match_title,title_match_score,lookup_outcome,new_abstract_found
DUP_01794,The Hemodynamic Response and Functional Connectivity of the Cortical Network are Modulated by Acupuncture,,no_pmid,35958938; 34858134; 34483822,34858134,Corrigendum: Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network.,0.769,pmid_found_with_abstract,True
DUP_00620,Corrigendum to “Multivariate resting-state functional connectivity predicts responses to real and sham acupuncture treatment in chronic low back pain” [Neuroimage Clinical 23 (2019) 101885](S2213158219302359)(10.1016/j.nicl.2019.101885),,no_pmid,,,,0.0,no_results,False
DUP_01793,The functional connectivity of ACC subregions with the DMN participates in the efficacy of acupuncture with deqi on functional dyspepsia,,no_pmid,,,,0.0,no_results,False
DUP_01816,The Long-Term Effects of Acupuncture on Hippocampal Functional Connectivity in aMCI with Hippocampal Atrophy: A Randomized Longitudinal fMRI Study,,no_pmid,,,,0.0,no_results,False
DUP_00095,Acupuncture alters primary somatosensory cortex functional connectivity in carpal tunnel syndrome,,no_pmid,34777225,34777225,S1 Brain Connectivity in Carpal Tunnel Syndrome Underlies Median Nerve and Functional Improvement Following Electro-Acupuncture.,0.545,possible_match_needs_verification,False
DUP_00098,Acupuncture analgesia for low back pain is associated with greater pressure pain-evoked activation in dorsolateral prefrontal cortex and a reduction in hyperalgesia,,no_pmid,,,,0.0,no_results,False
DUP_00217,Acupuncture promotes sensorimotor network neuroplasticity in fibromyalgia,,no_pmid,,,,0.0,no_results,False
DUP_00297,Amplitude changes in low frequency fluctuation in brains of primary dysmenorrheal treated by acupuncture: A resting-state fMRI study,,no_pmid,,,,0.0,no_results,False
DUP_00440,"Brain Connectome for Migraine Patients Treated Via Acupuncture: A Randomized, Controlled Study Under Single-blind Conditions, With a Placebo Group and Magnetic Resonance Imaging (MRI)",,no_pmid,,,,0.0,no_results,False
DUP_00503,Cerebral cortex functional connection analysis of magnetic stimulation at neiguan acupoint (PC6) based on complex network,,no_pmid,,,,0.0,no_results,False
DUP_00619,"Corrigendum to ‘Multivariate resting-state functional connectivity predicts responses to real and sham acupuncture treatment in chronic low back pain’ Neuroimage Clinical, 23, 2019, 101885 (NeuroImage: Clinical (2019) 23, (S2213158219302359), (10.1016/j.nicl.2019.101885))",,no_pmid,,,,0.0,no_results,False
DUP_01000,Exploring the effect on cerebral blood flow after acupuncture in elderly normal subjects using (99m)Tc-ECD imaging,,no_pmid,,,,0.0,no_results,False
DUP_01395,Neuromechanism of acupuncture on Parkinson's disease tremor: A resting state fMRI study,,no_pmid,,,,0.0,no_results,False
DUP_01396,Neuromodulation by electroacupuncture for migraine: An analysis using resting state functional magnetic resonance imaging,,no_pmid,,,,0.0,no_results,False
DUP_01464,Phantom acupuncture: Dissociation of somatosensory and cognitive/affective component of acupuncture effects in functional brain connectivity,,no_pmid,,,,0.0,no_results,False
DUP_01495,Potential Role of Acupuncture Treatment in Neuronal and Network Dysfunction in Patients With Vascular Cognitive Impairment,,no_pmid,,,,0.0,no_results,False
DUP_01673,Structural neuroplasticity in primary somatosensory cortex is linked to altered tactile acuity after acupuncture for chronic low back pain,,no_pmid,,,,0.0,no_results,False
DUP_01805,"The Impact of Electroacupuncture on Clinical Effect,Brain Structural and Functional Changes in Patients With Spinal Cord Injury:A Randomized Controlled Study Based on Multi-mode MRI",,no_pmid,,,,0.0,no_results,False
DUP_01817,THE LONG-TERM EFFECTS OF ACUPUNCTURE ON HIPPOCAMPUS FUNCTIONAL CONNECTIVITY IN AMNESTIC MILD COGNITIVE IMPAIRMENT: A LONGITUDINAL FMRI STUDY,,no_pmid,,,,0.0,no_results,False
DUP_00513,Cerebral response of healthy subjects to a somatosensory stimulaton with xingnao kaiqiao acupuncture compared to control interventions measured with resting-state functional magnetic resonance imaging,,no_pmid,,,,0.0,no_results,False
DUP_00525,Changes in functional connectivity with acupuncture outcomes for migraine,,no_pmid,41591775; 40341810; 39340626; 36187356; 36067612,36067612,Changes in brain connectivity linked to multisensory processing of pain modulation in migraine with acupuncture treatment.,0.667,possible_match_needs_verification,False
DUP_00555,Clinical observation on treatment of adult-attention deficit hyperactivity disorder by acupuncture refreshing brain method,,no_pmid,,,,0.0,no_results,False
DUP_00798,Effect of electroacupuncture stimulation of acupoint of heart meridian on brain connectivity in 27 healthy volunteer subjects,,no_pmid,29071979,29071979,[Effect of Electroacupuncture Stimulation of Acupoints of Heart Meridian on Brain Connectivity in 27 Healthy Volunteer Subjects].,0.933,pmid_found_with_abstract,True
DUP_00989,Experiment design and feasibility of BOLD and MRS multimodal fMRI in analysis of brain effect induced by acupuncture,,no_pmid,,,,0.0,no_results,False
DUP_01194,Involvement of salience network in the expectations of sensory experience for acupuncture stimulation,,no_pmid,,,,0.0,no_results,False
DUP_01870,The Study of Acupuncture on Vascular and Functional Neuroimaging in Parkinson's Disease Patients With Sleep Disorders,,no_pmid,,,,0.0,no_results,False
DUP_01941,Using fMRI and sEMG to Evaluate the Effects and Mechanism on Abdominal Acupuncture Combined With Upper Limb Rehabilitation Training on Brain Plasticity of Hemiplegic Patients With Stroke,,no_pmid,,,,0.0,no_results,False
DUP_00218,Acupuncture Regulates Emotion-cognitive Network of Chronic Insomnia Patients : A DTI-fMRI Study,,no_pmid,,,,0.0,no_results,False
DUP_00255,"Acupuncture Treatment on Chronic Sciatica: the Efficacy, Mechanism, and Functional Neuroimaging Pain-network Study",,no_pmid,,,,0.0,no_results,False
DUP_00285,Altered effective connectivity of resting state networks by acupuncture stimulation in stroke patients with left hemiplegia,,no_pmid,29382021,29382021,Altered effective connectivity of resting state networks by acupuncture stimulation in stroke patients with left hemiplegia: A multivariate granger analysis.,1.0,pmid_found_with_abstract,True
DUP_00384,Basal ganglia cerebral infarction patient fMRI imaging analysis before and after acupuncture-medicine therapy,,no_pmid,,,,0.0,no_results,False
DUP_00754,Effect of acupuncture at Zulinqi (GB41) on the amplitude of low frequency fluctuations in migraine without aura patients: A resting-state functional magnetic resonance imaging study,,no_pmid,,,,0.0,no_results,False
DUP_00882,"Efficacy and Mechanism of Acupuncture on Patients With Chronic Sciatica Using fMRI: A Randomized, Patient-Assessor Blind, Sham-Controlled Clinical Trial",,no_pmid,30651139,30651139,"Effect and neurophysiological mechanism of acupuncture in patients with chronic sciatica: protocol for a randomized, patient-assessor blind, sham-controlled clinical trial.",0.789,pmid_found_with_abstract,True
DUP_01170,Interaction of acupuncture treatment and manipulation laterality modulated by the default mode network,,no_pmid,28326925,28326925,Interaction of acupuncture treatment and manipulation laterality modulated by the default mode network.,1.0,pmid_found_with_abstract,True
DUP_01872,"The Study of Brain GABA and Brain Functional Modulatory Mechanism of Chronic Insomnia Disorder Using Acupuncture at ""Combined Magical-door"" Acupoints",,no_pmid,,,,0.0,no_results,False
DUP_01899,"To Explore the Cerebral Function Efficacy of Acupuncture and Fu's Subcutaneous Needling (FSN) in the Treatment of Chronic Tension-type Headache by Means of fMRI: a Single-blinded, Randomized Controlled Trials.",,no_pmid,,,,0.0,no_results,False
