pmid,Sensorimotor,Salience,DMN,Frontoparietal,Limbic,Temporal,Subcortical,Occipital
35832324,0.0975609756097561,0.04878048780487805,0.1951219512195122,0.29268292682926833,0.04878048780487805,0.14634146341463417,0.07317073170731707,0.0975609756097561
36051643,0.1764705882352941,0.058823529411764705,0.11764705882352941,0.29411764705882354,0.20588235294117646,0.0,0.0,0.08823529411764706
36530615,0.41666666666666663,0.0,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666
36530635,0.2564102564102564,0.15384615384615383,0.14102564102564102,0.14102564102564102,0.05128205128205128,0.08974358974358974,0.05128205128205128,0.11538461538461539
36744205,0.2857142857142857,0.0,0.0,0.14285714285714285,0.07142857142857142,0.3571428571428571,0.07142857142857142,0.07142857142857142
36890655,0.0,0.0,0.2857142857142857,0.5714285714285714,0.0,0.0,0.14285714285714285,0.0
36922926,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.0
37305743,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
37721727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37901421,0.2127659574468085,0.0,0.0851063829787234,0.3404255319148936,0.0425531914893617,0.0,0.19148936170212766,0.1276595744680851
38245739,0.045454545454545456,0.0,0.045454545454545456,0.2272727272727273,0.0,0.45454545454545453,0.0,0.2272727272727273
38249582,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
38585348,0.11764705882352941,0.058823529411764705,0.1764705882352941,0.47058823529411764,0.0,0.0,0.058823529411764705,0.11764705882352941
38651018,0.16666666666666666,0.19444444444444442,0.16666666666666666,0.25,0.027777777777777776,0.1111111111111111,0.05555555555555555,0.027777777777777776
38681626,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.25
39089662,0.13513513513513514,0.2567567567567568,0.08108108108108109,0.32432432432432434,0.10810810810810811,0.02702702702702703,0.06756756756756757,0.0
39368604,0.08695652173913043,0.30434782608695654,0.08695652173913043,0.43478260869565216,0.0,0.0,0.08695652173913043,0.0
39468590,0.20930232558139533,0.2558139534883721,0.13953488372093023,0.16279069767441862,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.11627906976744186
39543627,0.11764705882352941,0.0,0.0,0.6470588235294118,0.0,0.23529411764705882,0.0,0.11764705882352941
39648209,0.17391304347826086,0.16304347826086957,0.10869565217391304,0.17391304347826086,0.05434782608695652,0.11956521739130435,0.03260869565217391,0.17391304347826086
39877657,0.25,0.06818181818181818,0.1590909090909091,0.2272727272727273,0.022727272727272728,0.022727272727272728,0.13636363636363638,0.09090909090909091
40022556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40584525,0.04819277108433735,0.060240963855421686,0.27710843373493976,0.3493975903614458,0.03614457831325302,0.06024096385542169,0.060240963855421686,0.10843373493975904
40634927,0.18181818181818182,0.09090909090909091,0.10909090909090909,0.19999999999999998,0.0,0.19999999999999998,0.05454545454545454,0.18181818181818182
40772121,0.0,0.375,0.0,0.0,0.3125,0.125,0.1875,0.0
40881782,0.4,0.0,0.0,0.4,0.0,0.2,0.0,0.0
40963943,0.3469387755102041,0.02040816326530612,0.061224489795918366,0.12244897959183673,0.0,0.04081632653061224,0.02040816326530612,0.3877551020408163
40974865,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.2962962962962963,0.0,0.2962962962962963,0.037037037037037035,0.25925925925925924
40995472,0.3571428571428571,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.07142857142857142
41022570,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41069516,0.23809523809523808,0.0,0.0,0.47619047619047616,0.0,0.09523809523809523,0.047619047619047616,0.14285714285714285
41351443,0.18918918918918917,0.2072072072072072,0.1981981981981982,0.07207207207207207,0.07207207207207207,0.10810810810810811,0.09009009009009009,0.07207207207207207
41520025,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
41601526,0.4,0.2,0.1,0.2,0.1,0.0,0.0,0.0
41602988,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
41641330,0.0,0.0,0.09090909090909091,0.0,0.27272727272727276,0.5454545454545454,0.09090909090909091,0.0
41999225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42077350,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25
42131703,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5
