// Analysis: other
// Studies: 24
// Total foci: 469
// Foci with t-values: 357
// Coordinate space: MNI
// All statistics converted to t-values

// Reference=20423216
// Subjects=15
-30.0	-26.0	-23.0	4.381
43.0	-19.0	49.0	3.857
24.0	30.0	34.0	3.059
9.0	50.0	15.0	3.009

// Reference=28443010
// Subjects=38
39.0	-33.0	63.0	p
39.0	-33.0	63.0	p

// Reference=28480365
// Subjects=45
36.0	-45.0	9.0	p

// Reference=29343693
// Subjects=47
-52.0	-72.0	4.0	6.732
-60.0	-22.0	18.0	6.194
-46.0	-2.0	56.0	5.96
62.0	-18.0	26.0	5.686
48.0	-70.0	2.0	5.626
-62.0	-22.0	42.0	5.479
48.0	6.0	32.0	5.304
26.0	-38.0	68.0	5.29
54.0	-32.0	26.0	5.261
30.0	-4.0	52.0	4.896
-32.0	-50.0	60.0	4.732
42.0	0.0	4.0	4.178
38.0	24.0	4.0	4.013
-50.0	-6.0	6.0	3.813
-56.0	12.0	4.0	3.763
10.0	4.0	44.0	3.751
-64.0	-8.0	2.0	3.653
48.0	-16.0	-12.0	3.4

// Reference=29951105
// Subjects=21
15.2	-18.4	75.8	6.68
-18.2	55.1	4.0	6.37

// Reference=31636536
// Subjects=43
2.0	64.0	-8.0	p
-6.0	-40.0	24.0	p
18.0	-38.0	72.0	p
-18.0	-38.0	72.0	p
4.0	24.0	26.0	p
38.0	10.0	4.0	p
-36.0	12.0	2.0	p
46.0	-4.0	2.0	p
-42.0	-16.0	-2.0	p

// Reference=33560579
// Subjects=12
-45.0	-48.0	15.0	3.13

// Reference=33776442
// Subjects=20
3.0	-42.0	27.0	5.408
51.0	-63.0	33.0	5.391
15.0	-66.0	12.0	4.116
45.0	-18.0	57.0	3.788
-42.0	-24.0	51.0	4.293
3.0	-42.0	27.0	5.408
51.0	-63.0	33.0	5.391
15.0	-66.0	12.0	4.116
45.0	-18.0	57.0	3.788
-42.0	-24.0	51.0	4.293
3.0	-42.0	27.0	5.408
51.0	-63.0	33.0	5.391
15.0	-66.0	12.0	4.116
45.0	-18.0	57.0	3.788
-42.0	-24.0	51.0	4.293

// Reference=34483822
// Subjects=17
-54.0	31.0	27.0	p
54.0	31.0	27.0	p
-59.0	8.0	39.0	p
59.0	8.0	39.0	p
-46.0	22.0	44.0	p
46.0	22.0	44.0	p
-60.0	-16.0	44.0	p
60.0	-16.0	44.0	p
-54.0	-31.0	55.0	p
54.0	-31.0	55.0	p
-47.0	42.0	25.0	p
47.0	42.0	25.0	p
-43.0	55.0	25.0	p
43.0	55.0	25.0	p
-41.0	35.0	45.0	p
41.0	35.0	45.0	p
-31.0	44.0	43.0	p
31.0	44.0	43.0	p
-54.0	-3.0	51.0	p
54.0	-3.0	51.0	p
-44.0	13.0	58.0	p
44.0	13.0	58.0	p
-45.0	-16.0	62.0	p
45.0	-16.0	62.0	p
-32.0	-3.0	62.0	p
32.0	-3.0	62.0	p
-32.0	60.0	19.0	p
32.0	60.0	19.0	p
-23.0	55.0	39.0	p
23.0	55.0	39.0	p
-14.0	67.0	30.0	p
14.0	67.0	30.0	p
-29.0	26.0	60.0	p
29.0	26.0	60.0	p
-21.0	36.0	58.0	p
21.0	36.0	58.0	p
-24.0	13.0	71.0	p
24.0	13.0	71.0	p
-5.0	24.0	67.0	p
5.0	24.0	67.0	p
-34.0	-29.0	71.0	p
34.0	-29.0	71.0	p
-26.0	-16.0	79.0	p
26.0	-16.0	79.0	p
-10.0	49.0	53.0	p
10.0	49.0	53.0	p
2.0	50.0	34.0	p
3.0	32.0	54.0	p

// Reference=35734477
// Subjects=105
0.0	30.6	52.9	3.974
-51.5	21.4	37.3	3.927
-15.2	-21.4	-25.1	4.243
18.2	24.5	24.8	4.959
9.1	64.3	15.5	3.992
27.3	-36.7	15.5	3.788
-33.3	-76.5	28.0	4.722
-48.5	42.8	12.4	3.763

// Reference=37901421
// Subjects=51
7.0	-34.0	-45.0	p
-7.0	-34.0	-45.0	p
6.0	-38.0	-55.0	p
-6.0	-38.0	-55.0	p
5.0	-42.0	-48.0	p
-5.0	-42.0	-48.0	p
1.0	-45.0	-54.0	p

// Reference=38651018
// Subjects=81
-7.12	-52.22	60.71	p
-39.63	-19.04	54.21	p
44.34	-7.55	56.98	p
-29.1	-43.0	60.66	p
2.4	-27.94	60.15	p
-2.88	2.38	53.21	p
6.52	7.69	50.58	p
25.34	-58.18	60.34	p
-16.5	-58.57	64.46	p
-35.44	20.03	0.07	p
35.91	21.91	2.62	p
-44.76	0.1	8.83	p
-10.28	-18.48	7.04	p
11.75	-17.18	7.54	p
-51.26	8.26	-2.06	p
23.33	33.07	47.68	p
-16.4	28.52	53.05	p
-35.36	19.86	50.8	p
6.11	63.98	21.96	p
-2.06	37.85	36.34	p
26.07	49.56	26.58	p
47.6	22.16	9.74	p
-42.09	-54.98	44.74	p
-17.65	63.19	-9.17	p
-46.17	31.26	-13.03	p
-3.06	44.41	-9.46	p
-2.5	41.7	16.05	p
7.51	42.49	-5.35	p
12.25	35.63	20.3	p
7.94	-48.37	30.57	p
15.12	-63.09	25.98	p
-2.2	-36.68	43.85	p
-45.79	-60.69	20.85	p
-43.58	11.99	-34.15	p
64.64	-11.8	-19.3	p
58.31	-52.79	-13.61	p
43.93	-52.95	46.95	p
-33.93	-38.06	-15.6	p

// Reference=39468590
// Subjects=118
-39.4	20.4	5.1	12.8
33.3	20.4	9.2	13.5
-8.1	36.7	23.8	8.8
5.0	23.5	28.0	9.6
9.1	-19.4	-5.3	6.3
-8.1	-26.5	10.3	7.5
-46.5	40.8	28.0	5.7
44.4	36.7	20.7	5.8
-2.0	-18.4	62.3	4.8

// Reference=39648209
// Subjects=35
44.4	-47.9	0.9	8.74
-48.5	-54.1	0.9	9.16
39.4	-21.4	-12.6	8.37
36.4	-33.7	-7.4	6.79
-48.5	-21.4	4.0	-6.88
-31.3	20.4	0.9	-7.41
-14.1	17.3	57.1	-7.29
-42.4	-68.3	-23.0	-7.66

// Reference=39877657
// Subjects=27
-18.0	-54.0	0.0	3.685
-27.0	-67.0	19.0	7.57
24.0	-61.0	-47.0	6.48
51.0	-13.0	28.0	6.35
51.0	-13.0	28.0	6.35
39.0	-73.0	28.0	5.74
66.0	-40.0	37.0	4.89
15.0	-61.0	67.0	4.57
-66.0	-34.0	34.0	4.57
24.0	-4.0	64.0	4.56
-36.0	-28.0	37.0	4.47
-24.0	-1.0	64.0	4.35
-24.0	-1.0	64.0	4.35
42.0	14.0	4.0	4.3
42.0	14.0	4.0	4.3
42.0	14.0	4.0	4.3
-12.0	-79.0	46.0	4.24
9.0	-37.0	43.0	4.15
-33.0	44.0	34.0	3.8
-27.0	-49.0	49.0	3.78

// Reference=41022570
// Subjects=30
-15.0	-57.0	-39.0	14.322
0.0	45.0	8.0	13.343
